name,code,division_type,codename,province_code
Tân Uyên,726,huyện,huyen_bac_tan_uyen,74
Biên Hòa,731,thành phố,thanh_pho_bien_hoa,75
Long Khánh,732,thành phố,thanh_pho_long_khanh,75
Tân Phú,734,huyện,huyen_tan_phu,75
Vĩnh Cửu,735,huyện,huyen_vinh_cuu,75
Định Quán,736,huyện,huyen_dinh_quan,75
Trảng Bom,737,huyện,huyen_trang_bom,75
Thống Nhất,738,huyện,huyen_thong_nhat,75
Cẩm Mỹ,739,huyện,huyen_cam_my,75
Long Thành,740,huyện,huyen_long_thanh,75
Xuân Lộc,741,huyện,huyen_xuan_loc,75
Nhơn Trạch,742,huyện,huyen_nhon_trach,75
Vũng Tàu,747,thành phố,thanh_pho_vung_tau,77
Bà Rịa,748,thành phố,thanh_pho_ba_ria,77
Châu Đức,750,huyện,huyen_chau_duc,77
Xuyên Mộc,751,huyện,huyen_xuyen_moc,77
Long Điền,752,huyện,huyen_long_dien,77
Đất Đỏ,753,huyện,huyen_dat_do,77
Phú Mỹ,754,thị xã,thi_xa_phu_my,77
Côn Đảo,755,huyện,huyen_con_dao,77
Quận 1,760,quận,quan_1,79
Quận 12,761,quận,quan_12,79
Gò Vấp,764,quận,quan_go_vap,79
Bình Thạnh,765,quận,quan_binh_thanh,79
Tân Bình,766,quận,quan_tan_binh,79
Tân Phú,767,quận,quan_tan_phu,79
Phú Nhuận,768,quận,quan_phu_nhuan,79
Thủ Đức,769,thành phố,thanh_pho_thu_duc,79
Quận 3,770,quận,quan_3,79
Quận 10,771,quận,quan_10,79
Quận 11,772,quận,quan_11,79
Quận 4,773,quận,quan_4,79
Quận 5,774,quận,quan_5,79
Quận 6,775,quận,quan_6,79
Quận 8,776,quận,quan_8,79
Bình Tân,777,quận,quan_binh_tan,79
Quận 7,778,quận,quan_7,79
Củ Chi,783,huyện,huyen_cu_chi,79
Hóc Môn,784,huyện,huyen_hoc_mon,79
Bình Chánh,785,huyện,huyen_binh_chanh,79
Nhà Bè,786,huyện,huyen_nha_be,79
Cần Giờ,787,huyện,huyen_can_gio,79
Tân An,794,thành phố,thanh_pho_tan_an,80
Kiến Tường,795,thị xã,thi_xa_kien_tuong,80
Tân Hưng,796,huyện,huyen_tan_hung,80
Vĩnh Hưng,797,huyện,huyen_vinh_hung,80
Mộc Hóa,798,huyện,huyen_moc_hoa,80
Tân Thạnh,799,huyện,huyen_tan_thanh,80
Thạnh Hóa,800,huyện,huyen_thanh_hoa,80
Đức Huệ,801,huyện,huyen_duc_hue,80
Đức Hòa,802,huyện,huyen_duc_hoa,80
Bến Lức,803,huyện,huyen_ben_luc,80
Thủ Thừa,804,huyện,huyen_thu_thua,80
Tân Trụ,805,huyện,huyen_tan_tru,80
Cần Đước,806,huyện,huyen_can_duoc,80
Cần Giuộc,807,huyện,huyen_can_giuoc,80
Châu Thành,808,huyện,huyen_chau_thanh,80
Mỹ Tho,815,thành phố,thanh_pho_my_tho,82
Gò Công,816,thị xã,thi_xa_go_cong,82
Cai Lậy,817,thị xã,thi_xa_cai_lay,82
Tân Phước,818,huyện,huyen_tan_phuoc,82
Cái Bè,819,huyện,huyen_cai_be,82
Cai Lậy,820,huyện,huyen_cai_lay,82
Châu Thành,821,huyện,huyen_chau_thanh,82
Chợ Gạo,822,huyện,huyen_cho_gao,82
Công Tây,823,huyện,huyen_go_cong_tay,82
Công Đông,824,huyện,huyen_go_cong_dong,82
Phú Đông,825,huyện,huyen_tan_phu_dong,82
Bến Tre,829,thành phố,thanh_pho_ben_tre,83
